,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
1550,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,2.0,4.0,0.0,0.0,5.0,6.0
1551,0.0,0.0,4.0,3.0,6.0,0.0,0.0,6.0,3.0,0.0,2.0,6.0,0.0,0.0,5.0,4.0
1552,0.0,4.0,6.0,6.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
1553,0.0,0.0,0.0,2.0,6.0,0.0,2.0,3.0,4.0,0.0,1.0,6.0,0.0,0.0,6.0,4.0
1554,1.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,4.0,1.0,1.0,6.0,1.0,0.0,6.0,3.0
1555,1.0,0.0,0.0,6.0,6.0,5.0,6.0,2.0,5.0,1.0,2.0,6.0,1.0,0.0,6.0,3.0
1556,1.0,1.0,0.0,6.0,1.0,6.0,6.0,2.0,6.0,1.0,1.0,2.0,2.0,0.0,6.0,3.0
1557,1.0,3.0,0.0,6.0,0.0,6.0,6.0,2.0,6.0,1.0,5.0,2.0,4.0,0.0,5.0,1.0
1558,1.0,5.0,0.0,6.0,5.0,3.0,6.0,2.0,6.0,2.0,4.0,5.0,6.0,0.0,5.0,0.0
1559,2.0,4.0,0.0,6.0,3.0,1.0,6.0,1.0,6.0,2.0,1.0,3.0,6.0,0.0,1.0,0.0
1560,4.0,4.0,5.0,6.0,2.0,1.0,6.0,1.0,6.0,2.0,6.0,3.0,4.0,0.0,1.0,1.0
1561,4.0,4.0,0.0,6.0,3.0,1.0,4.0,1.0,5.0,3.0,0.0,4.0,4.0,0.0,1.0,2.0
1562,4.0,4.0,0.0,5.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,0.0,1.0,1.0
1563,4.0,4.0,0.0,5.0,0.0,1.0,4.0,0.0,4.0,4.0,2.0,1.0,6.0,0.0,1.0,1.0
1564,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0,0.0,1.0,2.0
1565,4.0,4.0,0.0,3.0,1.0,1.0,4.0,0.0,4.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0
1566,4.0,4.0,5.0,2.0,2.0,0.0,3.0,0.0,2.0,5.0,5.0,1.0,4.0,0.0,1.0,3.0
1567,4.0,3.0,0.0,4.0,1.0,5.0,2.0,1.0,3.0,5.0,4.0,0.0,4.0,0.0,1.0,5.0
1568,4.0,2.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,5.0,2.0,0.0,4.0,0.0,1.0,5.0
1569,4.0,2.0,0.0,4.0,1.0,3.0,2.0,1.0,3.0,6.0,3.0,0.0,3.0,0.0,1.0,5.0
1570,4.0,2.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,6.0,1.0,2.0,3.0,0.0,1.0,4.0
1571,4.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,6.0,6.0,0.0,3.0,0.0,1.0,5.0
1572,3.0,2.0,0.0,2.0,2.0,5.0,2.0,1.0,4.0,6.0,5.0,1.0,4.0,0.0,1.0,3.0
1573,3.0,2.0,0.0,2.0,3.0,5.0,2.0,2.0,4.0,6.0,2.0,1.0,3.0,0.0,1.0,4.0
1574,3.0,2.0,0.0,2.0,4.0,5.0,2.0,1.0,4.0,6.0,3.0,3.0,3.0,0.0,1.0,4.0
