,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
1600,0.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,5.0,0.0,1.0,5.0,0.0,0.0,5.0,6.0
1601,0.0,0.0,5.0,6.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0
1602,0.0,4.0,5.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
1603,0.0,0.0,5.0,6.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,6.0,3.0
1604,1.0,0.0,0.0,5.0,5.0,0.0,5.0,2.0,1.0,1.0,5.0,4.0,1.0,0.0,6.0,2.0
1605,1.0,0.0,0.0,6.0,5.0,5.0,6.0,2.0,2.0,1.0,0.0,5.0,1.0,0.0,6.0,2.0
1606,1.0,1.0,0.0,6.0,1.0,6.0,6.0,2.0,4.0,1.0,5.0,3.0,3.0,0.0,6.0,2.0
1607,1.0,3.0,0.0,6.0,1.0,6.0,6.0,2.0,5.0,1.0,5.0,3.0,4.0,0.0,5.0,1.0
1608,1.0,5.0,0.0,5.0,4.0,3.0,6.0,2.0,5.0,2.0,6.0,5.0,6.0,0.0,5.0,0.0
1609,2.0,4.0,0.0,2.0,2.0,1.0,6.0,1.0,5.0,2.0,1.0,3.0,6.0,0.0,1.0,0.0
1610,4.0,4.0,0.0,3.0,2.0,1.0,6.0,1.0,4.0,3.0,5.0,3.0,5.0,0.0,1.0,1.0
1611,4.0,4.0,0.0,5.0,2.0,1.0,4.0,1.0,1.0,3.0,0.0,3.0,5.0,6.0,1.0,0.0
1612,4.0,4.0,0.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,6.0,1.0,0.0
1613,4.0,4.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,6.0,0.0,1.0,0.0
1614,4.0,4.0,5.0,3.0,0.0,1.0,4.0,1.0,0.0,5.0,2.0,1.0,6.0,0.0,1.0,0.0
1615,4.0,4.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,6.0,0.0,1.0,1.0
1616,4.0,4.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,5.0,0.0,1.0,1.0
1617,4.0,3.0,0.0,5.0,2.0,5.0,2.0,1.0,0.0,6.0,5.0,2.0,5.0,0.0,1.0,3.0
1618,4.0,2.0,5.0,5.0,2.0,5.0,2.0,1.0,1.0,6.0,2.0,1.0,4.0,0.0,1.0,4.0
1619,4.0,2.0,0.0,5.0,1.0,3.0,2.0,1.0,0.0,6.0,2.0,0.0,4.0,0.0,1.0,4.0
1620,4.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,6.0,5.0,0.0,4.0,0.0,1.0,3.0
1621,4.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,6.0,3.0,1.0,3.0,0.0,1.0,4.0
1622,3.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,6.0,3.0,0.0,5.0,0.0,1.0,3.0
1623,3.0,2.0,0.0,4.0,2.0,5.0,2.0,2.0,1.0,6.0,1.0,0.0,4.0,0.0,1.0,4.0
1624,3.0,2.0,0.0,4.0,2.0,5.0,2.0,2.0,1.0,6.0,5.0,2.0,4.0,0.0,1.0,2.0
