,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
1975,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,5.0,0.0,4.0,4.0,0.0,0.0,5.0,6.0
1976,0.0,0.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0,0.0,3.0,6.0,0.0,0.0,5.0,4.0
1977,0.0,4.0,6.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
1978,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,3.0
1979,1.0,0.0,0.0,4.0,6.0,0.0,5.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,6.0,2.0
1980,1.0,0.0,0.0,4.0,6.0,5.0,6.0,2.0,2.0,1.0,5.0,6.0,1.0,0.0,6.0,3.0
1981,1.0,1.0,0.0,4.0,5.0,6.0,6.0,2.0,5.0,1.0,1.0,6.0,2.0,0.0,6.0,3.0
1982,1.0,3.0,0.0,4.0,0.0,6.0,6.0,2.0,6.0,1.0,4.0,1.0,4.0,0.0,5.0,2.0
1983,1.0,5.0,0.0,5.0,5.0,3.0,6.0,2.0,5.0,2.0,3.0,6.0,5.0,0.0,5.0,0.0
1984,2.0,4.0,0.0,2.0,4.0,1.0,6.0,1.0,5.0,2.0,5.0,4.0,6.0,0.0,1.0,0.0
1985,4.0,4.0,0.0,2.0,0.0,1.0,6.0,1.0,5.0,2.0,5.0,2.0,3.0,0.0,1.0,3.0
1986,4.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0
1987,4.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,2.0
1988,4.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,4.0,4.0,0.0,4.0,0.0,1.0,2.0
1989,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,5.0,1.0,3.0,0.0,1.0,3.0
1990,4.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,0.0,1.0,3.0
1991,4.0,4.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,5.0,3.0,1.0,3.0,0.0,1.0,4.0
1992,4.0,3.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,5.0,4.0,3.0,3.0,0.0,1.0,5.0
1993,4.0,2.0,0.0,1.0,3.0,5.0,2.0,2.0,1.0,6.0,2.0,2.0,3.0,0.0,1.0,5.0
1994,4.0,2.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,6.0,5.0,3.0,2.0,0.0,1.0,5.0
1995,4.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,0.0,1.0,5.0
1996,4.0,2.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,6.0,5.0,3.0,2.0,0.0,1.0,5.0
1997,3.0,2.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,4.0,1.0,3.0,0.0,1.0,4.0
1998,3.0,2.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,5.0
1999,3.0,2.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,6.0,3.0,1.0,2.0,0.0,1.0,5.0
