,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
475,0.0,0.0,4.0,1.0,3.0,0.0,0.0,6.0,5.0,0.0,6.0,4.0,0.0,0.0,5.0,6.0
476,0.0,0.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,0.0,0.0,5.0,5.0
477,0.0,4.0,6.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,3.0
478,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,6.0,5.0
479,1.0,0.0,0.0,3.0,6.0,0.0,5.0,2.0,4.0,1.0,3.0,4.0,1.0,0.0,6.0,5.0
480,1.0,0.0,0.0,3.0,6.0,5.0,6.0,2.0,5.0,1.0,2.0,5.0,1.0,3.0,6.0,5.0
481,1.0,1.0,0.0,4.0,3.0,6.0,6.0,2.0,6.0,1.0,3.0,4.0,2.0,3.0,6.0,4.0
482,1.0,3.0,0.0,5.0,3.0,6.0,6.0,2.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0
483,1.0,5.0,0.0,6.0,6.0,3.0,6.0,2.0,6.0,1.0,1.0,6.0,4.0,3.0,5.0,0.0
484,2.0,4.0,0.0,5.0,6.0,1.0,6.0,1.0,6.0,2.0,5.0,6.0,5.0,3.0,1.0,0.0
485,4.0,4.0,4.0,5.0,6.0,1.0,6.0,1.0,5.0,2.0,5.0,6.0,3.0,3.0,1.0,1.0
486,4.0,4.0,0.0,5.0,6.0,1.0,4.0,2.0,3.0,3.0,0.0,6.0,3.0,3.0,1.0,1.0
487,4.0,4.0,0.0,5.0,6.0,1.0,4.0,1.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,0.0
488,4.0,4.0,0.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,5.0,2.0,5.0,3.0,1.0,0.0
489,4.0,4.0,4.0,3.0,0.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,0.0
490,4.0,4.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,1.0,1.0
491,4.0,4.0,6.0,4.0,1.0,0.0,3.0,1.0,0.0,5.0,5.0,0.0,4.0,3.0,1.0,1.0
492,4.0,3.0,0.0,6.0,3.0,5.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,3.0,1.0,3.0
493,4.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,3.0,1.0,3.0
494,4.0,2.0,0.0,5.0,3.0,3.0,2.0,2.0,0.0,6.0,2.0,3.0,3.0,3.0,1.0,3.0
495,4.0,2.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,6.0,4.0,1.0,3.0,3.0,1.0,3.0
496,4.0,2.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,6.0,4.0,2.0,3.0,0.0,1.0,3.0
497,3.0,2.0,0.0,4.0,4.0,5.0,2.0,2.0,1.0,6.0,4.0,2.0,4.0,0.0,1.0,2.0
498,3.0,2.0,0.0,5.0,4.0,5.0,2.0,2.0,1.0,6.0,0.0,2.0,3.0,0.0,1.0,3.0
499,3.0,2.0,0.0,6.0,3.0,5.0,2.0,2.0,2.0,6.0,0.0,3.0,4.0,0.0,1.0,3.0
