,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
450,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,5.0,0.0,1.0,4.0,0.0,0.0,5.0,6.0
451,0.0,0.0,5.0,3.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0
452,0.0,6.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
453,0.0,0.0,6.0,5.0,6.0,0.0,1.0,2.0,3.0,0.0,6.0,6.0,0.0,0.0,6.0,4.0
454,0.0,0.0,0.0,6.0,5.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,6.0,4.0
455,1.0,0.0,0.0,6.0,5.0,0.0,6.0,2.0,4.0,1.0,5.0,5.0,1.0,3.0,6.0,4.0
456,1.0,0.0,0.0,5.0,4.0,6.0,6.0,2.0,5.0,1.0,4.0,4.0,2.0,3.0,6.0,4.0
457,1.0,1.0,0.0,6.0,0.0,6.0,6.0,2.0,6.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0
458,1.0,3.0,0.0,6.0,0.0,6.0,6.0,2.0,6.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0
459,1.0,6.0,0.0,6.0,5.0,3.0,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,5.0,0.0
460,1.0,4.0,0.0,6.0,5.0,1.0,6.0,1.0,6.0,2.0,1.0,5.0,6.0,3.0,0.0,0.0
461,4.0,4.0,0.0,6.0,5.0,1.0,6.0,1.0,6.0,2.0,6.0,4.0,4.0,3.0,0.0,2.0
462,4.0,4.0,5.0,4.0,5.0,1.0,5.0,1.0,5.0,3.0,4.0,5.0,4.0,3.0,0.0,2.0
463,4.0,4.0,0.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,3.0,0.0,2.0
464,4.0,4.0,0.0,3.0,0.0,1.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,3.0,0.0,1.0
465,4.0,4.0,5.0,2.0,0.0,1.0,4.0,1.0,3.0,4.0,6.0,0.0,6.0,3.0,0.0,1.0
466,4.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,5.0,3.0,0.0,2.0
467,4.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,3.0,4.0,2.0,0.0,5.0,3.0,0.0,2.0
468,4.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,5.0,5.0,1.0,5.0,3.0,0.0,3.0
469,4.0,3.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,5.0,2.0,0.0,4.0,3.0,0.0,4.0
470,4.0,2.0,6.0,1.0,3.0,6.0,2.0,6.0,4.0,5.0,6.0,2.0,4.0,3.0,0.0,5.0
471,4.0,2.0,6.0,0.0,3.0,3.0,2.0,6.0,4.0,5.0,6.0,2.0,3.0,3.0,0.0,6.0
472,4.0,2.0,0.0,0.0,2.0,3.0,2.0,6.0,4.0,5.0,4.0,1.0,3.0,3.0,0.0,6.0
473,4.0,2.0,6.0,0.0,3.0,3.0,2.0,6.0,4.0,4.0,6.0,0.0,2.0,3.0,0.0,6.0
474,3.0,2.0,0.0,0.0,5.0,4.0,2.0,6.0,5.0,4.0,4.0,5.0,3.0,0.0,0.0,6.0
